iter	Logloss
0	0.6666652937
1	0.6486723629
2	0.6317212174
3	0.6148443888
4	0.5960074812
5	0.5802412191
6	0.5648193092
7	0.5518053957
8	0.5432270097
9	0.5357975628
10	0.52774007
11	0.51892026
12	0.5106889234
13	0.5061279759
14	0.4999095135
15	0.4935727047
16	0.4895787848
17	0.4837892589
18	0.4783843607
19	0.4740842534
20	0.4699097095
21	0.4651541944
22	0.4612439005
23	0.4565404989
24	0.4523442968
25	0.448290301
26	0.4446621788
27	0.4403495034
28	0.4381852736
29	0.4347852013
30	0.4308376811
31	0.4286068398
32	0.4256124018
33	0.4229560867
34	0.4201108709
35	0.4174824549
36	0.4149334548
37	0.4118539717
38	0.4093405579
39	0.4072367329
40	0.4053714953
41	0.4037885643
42	0.4021209588
43	0.4000774685
44	0.3980019099
45	0.3967550979
46	0.3951133116
47	0.393530432
48	0.3917464901
49	0.3897587311
50	0.3879994082
51	0.3861008995
52	0.3858584927
53	0.38394516
54	0.3822378152
55	0.3806985992
56	0.3788253131
57	0.3774797523
58	0.3760254456
59	0.3741463065
60	0.3728081939
61	0.3720324921
62	0.3715992852
63	0.370667646
64	0.3687611014
65	0.3673433832
66	0.3662269388
67	0.3650464484
68	0.3628227002
69	0.3617089472
70	0.3595133868
71	0.3574175074
72	0.3561870249
73	0.3549692956
74	0.3542122782
75	0.3526744308
76	0.3521885396
77	0.3505368286
78	0.3498656313
79	0.3483878985
80	0.3468578184
81	0.3456024952
82	0.343763226
83	0.3425387746
84	0.3423419809
85	0.3410166783
86	0.3394900443
87	0.3384837265
88	0.3375825644
89	0.3362716865
90	0.3350855475
91	0.3341385767
92	0.3327073435
93	0.3313961406
94	0.3311480141
95	0.3299166912
96	0.3286121513
97	0.3280667441
98	0.3274810009
99	0.3254285749
