iter	Passed	Remaining
0	0	93
1	1	93
2	3	98
3	4	96
4	6	120
5	7	116
6	8	108
7	9	105
8	10	103
9	11	100
10	11	96
11	12	94
12	14	93
13	14	90
14	15	88
15	16	85
16	16	81
17	17	80
18	18	79
19	19	78
20	21	81
21	22	79
22	23	78
23	24	77
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	38	70
35	39	69
36	40	68
37	40	66
38	41	65
39	42	63
40	43	62
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	53	53
50	54	52
51	55	51
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	69	34
67	70	33
68	72	32
69	73	31
70	74	30
71	75	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	84	19
81	85	18
82	86	17
83	87	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	100	3
97	101	2
98	102	1
99	103	0
